
### 📋 PERFIL AVANZADO: PARÁMETROS CLAVE

1.  [cite_start]**Volumen Mensual:** **1.100 - 1.300 Reps** (Mayor capacidad de trabajo)[cite: 10].
2.  [cite_start]**IMR Base:** **70% - 75%** (La carga promedio es considerablemente más alta que en intermedios)[cite: 11].
3.  [cite_start]**Estructura:** **$2\times1$ (Choque)** predominante en fases específicas para forzar adaptación, mezclado con $3\times1$ en la base[cite: 11, 22].
4.  [cite_start]**Jerarquía de Slots:** 1. Arranque $\rightarrow$ 2. Envión $\rightarrow$ 3. Fuerza[cite: 222].

---

### 🟢 MES 1: ACUMULACIÓN (Volumen Alto | IMR 70-72%)
**Objetivo:** Fatiga controlada y acondicionamiento específico.
**Estructura:** $3\times1$ (3 Semanas carga, 1 descarga).

#### SEMANA 1 (Base - IMR 70%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **1** | **VOL** | **Snatch (No Feet):** 5x3 @ 75% | **C&J (1+2):** 4x(1+2) @ 75% | **Back Squat:** 5x5 @ 75% |
| **2** | **AUX** | **Muscle Snatch:** 4x3 @ 60% | **Power Clean + Push Press:** 4x(2+2) @ 70% | **Snatch Pull (Déficit):** 4x4 @ 90% |
| **3** | **MED** | **Power Snatch:** 5x2 @ 75% | **Power Clean + Jerk:** 5x(1+1) @ 75% | **Front Squat:** 4x4 @ 80% |
| **4** | **TEC** | **Tall Snatch:** 5x3 (40%) | **Jerk Balance:** 5x3 (40%) | **OHS (Pausa):** 3x3 @ 60% |
| **5** | **INT** | **Snatch:** 1x2 @ 80% | **Clean & Jerk:** 1x2 @ 80% | **Back Squat:** 3x3 @ 80% |

#### SEMANA 2 (Carga - IMR 71%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **6** | **VOL** | **Snatch (No Feet):** 6x3 @ 77% | **C&J (1+2):** 5x(1+2) @ 77% | **Back Squat:** 5x5 @ 77% |
| **7** | **AUX** | **Muscle Snatch:** 4x3 @ 65% | **Power Clean + Push Press:** 5x(2+2) @ 72% | **Snatch Pull (Déficit):** 5x4 @ 95% |
| **8** | **MED** | **Power Snatch:** 6x2 @ 77% | **Power Clean + Jerk:** 6x(1+1) @ 77% | **Front Squat:** 5x4 @ 82% |
