
### 📋 RECOMENDACIÓN DE DOBLE TURNO
Para este macrociclo, recomiendo **2 DÍAS DE DOBLE TURNO** por semana.
* **Total Sesiones:** 7 Unidades de Entrenamiento (5 días calendario).
* **Distribución:** Lunes (Doble), Miércoles (Doble), Martes/Jueves/Viernes (Simple).
* **Regla de Oro del Doble Turno:** **UN SOLO GESTO TÉCNICO POR SESIÓN**.
    * *Ejemplo:* Mañana solo Arranque + Fuerza. Tarde solo Envión + Tracción. Esto garantiza calidad neural máxima.

---

### 🟢 MES 1: ACUMULACIÓN (Volumen Alto | IMR 72%)
**Objetivo:** Capacidad de trabajo y resistencia a la fuerza. Series de 3 repeticiones.

#### SEMANA 1 (Base)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Hang Snatch:** 5x3 @ 70% | --- | **Back Squat:** 5x5 @ 70% |
| **LUN** | **PM** | --- | **C&J (1+2):** 4x(1+2) @ 70% | **Snatch Pull:** 4x4 @ 90% |
| **MAR** | **UNICO**| **Muscle Snatch:** 4x3 @ 60% | **Power Clean:** 4x2 @ 70% | **Press Militar:** 5x5 @ 65% |
| **MIE** | **AM** | --- | **Power C&J:** 5x(2+1) @ 70% | **Front Squat:** 4x4 @ 75% |
| **MIE** | **PM** | **Power Snatch:** 5x3 @ 70% | --- | **Push Press:** 4x4 @ 70% |
| **JUE** | **UNICO**| **Tall Snatch:** 5x3 (Barra) | **Jerk Balance:** 5x3 (Barra) | **Core / Movilidad** |
| **VIE** | **UNICO**| **Snatch:** 1x2 @ 75% | **Clean & Jerk:** 1x2 @ 75% | **Back Squat:** 3x3 @ 80% |

#### SEMANA 2 (Carga)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Hang Snatch:** 6x3 @ 72% | --- | **Back Squat:** 5x5 @ 72% |
| **LUN** | **PM** | --- | **C&J (1+2):** 5x(1+2) @ 72% | **Snatch Pull:** 5x4 @ 95% |
| **MAR** | **UNICO**| **Muscle Snatch:** 4x3 @ 65% | **Power Clean:** 5x2 @ 72% | **Press Militar:** 5x5 @ 68% |
| **MIE** | **AM** | --- | **Power C&J:** 6x(2+1) @ 72% | **Front Squat:** 5x4 @ 78% |
| **MIE** | **PM** | **Power Snatch:** 6x3 @ 72% | --- | **Push Press:** 5x4 @ 72% |
| **JUE** | **UNICO**| **Drop Snatch:** 5x3 @ 50% | **Sots Press:** 4x4 (Barra) | **Good Mornings:** 3x8 |
| **VIE** | **UNICO**| **Snatch:** 1x2 @ 80% | **Clean & Jerk:** 1x2 @ 80% | **Back Squat:** 3x3 @ 82% |

#### SEMANA 3 (Choque)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Hang Snatch:** 7x3 @ 75% | --- | **Back Squat:** 6x5 @ 75% |
| **LUN** | **PM** | --- | **C&J (1+2):** 6x(1+2) @ 75% | **Snatch Pull:** 6x3 @ 100% |
| **MAR** | **UNICO**| **Muscle Snatch:** 5x3 @ 65% | **Power Clean:** 5x2 @ 75% | **Press Militar:** 5x4 @ 70% |
| **MIE** | **AM** | --- | **Power C&J:** 6x(2+1) @ 75% | **Front Squat:** 5x3 @ 80% |
| **MIE** | **PM** | **Power Snatch:** 6x3 @ 75% | --- | **Push Press:** 5x3 @ 75% |
| **JUE** | **UNICO**| **Snatch Balance:** 4x3 @ 60% | **Jerk Recovery:** 4x3 @ 70% | **Saltos:** 4x5 |
| **VIE** | **UNICO**| **Snatch:** 1x2 @ 82% | **Clean & Jerk:** 1x2 @ 82% | **Back Squat:** 3x2 @ 85% |

#### SEMANA 4 (Descarga Activa - IMR 66%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Hang Snatch:** 3x3 @ 60% | --- | **Back Squat:** 3x5 @ 60% |
| **LUN** | **PM** | --- | **C&J (1+1):** 3x1 @ 60% | **Snatch Pull:** 3x3 @ 80% |
| **MAR** | **UNICO**| **Muscle Snatch:** 3x3 @ 50% | **Muscle Clean:** 3x3 @ 50% | **Movilidad** |
| **MIE** | **AM** | --- | **Power Clean:** 3x2 @ 60% | **Front Squat:** 3x3 @ 65% |
| **MIE** | **PM** | **Power Snatch:** 3x2 @ 60% | --- | **Push Press:** 3x4 @ 60% |
| **JUE** | **UNICO**| **Tall Snatch:** 3x3 (Barra) | **Core** | **Sin Carga** |
| **VIE** | **UNICO**| **Snatch:** 2x1 @ 75% | **Clean & Jerk:** 2x1 @ 75% | **Back Squat:** 2x2 @ 75% |

---

### 🟡 MES 2: DESARROLLO FUERZA (IMR 74-76%)
**Objetivo:** Transferencia a Bloques y Potencia. Series de 2 repeticiones.

#### SEMANA 5 (Base)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch (Block):** 5x2 @ 78% | --- | **Back Squat:** 5x3 @ 80% |
| **LUN** | **PM** | --- | **C&J (Block):** 4x(1+1) @ 78% | **Clean Pull:** 4x3 @ 100% |
| **MAR** | **UNICO**| **No-Foot Snatch:** 4x2 @ 70% | **Push Jerk:** 4x3 @ 70% | **Hip Thrust:** 3x8 |
| **MIE** | **AM** | --- | **Power Clean:** 4x2 @ 75% | **Front Squat:** 4x3 @ 80% |
| **MIE** | **PM** | **Power Snatch:** 4x2 @ 75% | --- | **Jerk Drive:** 4x3 @ 85% |
| **JUE** | **UNICO**| **Snatch Balance:** 4x2 @ 65% | **Jerk Dip:** 4x3 @ 85% | **Pliometría** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 85% | **Clean & Jerk:** 1x1 @ 85% | **Clean DL:** 3x3 @ 105% |

#### SEMANA 6 (Carga)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch (Block):** 6x2 @ 80% | --- | **Back Squat:** 6x3 @ 82% |
